GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median household income in the past 12 months (in 2017 inflation-adjusted dollars),Margin of Error; Median household income in the past 12 months (in 2017 inflation-adjusted dollars)
1400000US06059042315,06059042315,"Census Tract 423.15, Orange County, California",81679,12241
1400000US06059042317,06059042317,"Census Tract 423.17, Orange County, California",106806,26821
1400000US06059042319,06059042319,"Census Tract 423.19, Orange County, California",118750,28037
1400000US06059042320,06059042320,"Census Tract 423.20, Orange County, California",76429,6182
1400000US06059042323,06059042323,"Census Tract 423.23, Orange County, California",119583,17560
1400000US06059042324,06059042324,"Census Tract 423.24, Orange County, California",79194,16492
1400000US06059042325,06059042325,"Census Tract 423.25, Orange County, California",114675,11380
1400000US06059042326,06059042326,"Census Tract 423.26, Orange County, California",95300,8093
1400000US06059042327,06059042327,"Census Tract 423.27, Orange County, California",118194,19250
1400000US06059042328,06059042328,"Census Tract 423.28, Orange County, California",207264,15276
1400000US06059042329,06059042329,"Census Tract 423.29, Orange County, California",109750,19050
1400000US06059042330,06059042330,"Census Tract 423.30, Orange County, California",92163,19940
1400000US06059042331,06059042331,"Census Tract 423.31, Orange County, California",78162,25811
1400000US06059042332,06059042332,"Census Tract 423.32, Orange County, California",115119,19371
1400000US06059042333,06059042333,"Census Tract 423.33, Orange County, California",162315,21474
1400000US06059042334,06059042334,"Census Tract 423.34, Orange County, California",83393,18756
1400000US06059042335,06059042335,"Census Tract 423.35, Orange County, California",98345,37591
1400000US06059042336,06059042336,"Census Tract 423.36, Orange County, California",135129,8283
1400000US06059042337,06059042337,"Census Tract 423.37, Orange County, California",129671,17234
1400000US06059042338,06059042338,"Census Tract 423.38, Orange County, California",106750,19037
1400000US06059042339,06059042339,"Census Tract 423.39, Orange County, California",82262,17021
1400000US06059052404,06059052404,"Census Tract 524.04, Orange County, California",89573,12741
1400000US06059052408,06059052408,"Census Tract 524.08, Orange County, California",110753,13095
1400000US06059052410,06059052410,"Census Tract 524.10, Orange County, California",63405,9610
1400000US06059052411,06059052411,"Census Tract 524.11, Orange County, California",79239,19267
1400000US06059052415,06059052415,"Census Tract 524.15, Orange County, California",140781,26615
1400000US06059052416,06059052416,"Census Tract 524.16, Orange County, California",108733,10567
1400000US06059052417,06059052417,"Census Tract 524.17, Orange County, California",85481,7136
1400000US06059052418,06059052418,"Census Tract 524.18, Orange County, California",92510,8467
1400000US06059052419,06059052419,"Census Tract 524.19, Orange County, California",143819,12857
1400000US06059052420,06059052420,"Census Tract 524.20, Orange County, California",130295,14802
1400000US06059052421,06059052421,"Census Tract 524.21, Orange County, California",106493,14125
1400000US06059052422,06059052422,"Census Tract 524.22, Orange County, California",122614,8260
1400000US06059052423,06059052423,"Census Tract 524.23, Orange County, California",91149,7594
1400000US06059052424,06059052424,"Census Tract 524.24, Orange County, California",76544,6806
1400000US06059052425,06059052425,"Census Tract 524.25, Orange County, California",87644,16825
1400000US06059052426,06059052426,"Census Tract 524.26, Orange County, California",129735,11212
1400000US06059052427,06059052427,"Census Tract 524.27, Orange County, California",124109,8390
