GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - U.S. citizen, born in the United States","Margin of Error; Total: - U.S. citizen, born in the United States","Estimate; Total: - U.S. citizen, born in Puerto Rico or U.S. Island Areas","Margin of Error; Total: - U.S. citizen, born in Puerto Rico or U.S. Island Areas","Estimate; Total: - U.S. citizen, born abroad of American parent(s)","Margin of Error; Total: - U.S. citizen, born abroad of American parent(s)",Estimate; Total: - U.S. citizen by naturalization,Margin of Error; Total: - U.S. citizen by naturalization,Estimate; Total: - Not a U.S. citizen,Margin of Error; Total: - Not a U.S. citizen
1400000US06059063902,06059063902,"Census Tract 639.02, Orange County, California",7090,524,5099,503,0,17,41,40,884,228,1066,383
1400000US06059063903,06059063903,"Census Tract 639.03, Orange County, California",4181,361,2963,295,18,29,49,64,541,200,610,159
1400000US06059063904,06059063904,"Census Tract 639.04, Orange County, California",4824,360,3102,278,9,13,30,36,877,179,806,256
1400000US06059063905,06059063905,"Census Tract 639.05, Orange County, California",4561,423,3830,372,0,12,10,12,332,95,389,231
1400000US06059063906,06059063906,"Census Tract 639.06, Orange County, California",6259,537,4092,540,0,17,6,10,1097,306,1064,441
1400000US06059063907,06059063907,"Census Tract 639.07, Orange County, California",8004,447,6123,481,18,27,53,47,1032,277,778,334
1400000US06059063908,06059063908,"Census Tract 639.08, Orange County, California",5450,422,4043,435,0,17,14,24,880,328,513,306
1400000US06059074003,06059074003,"Census Tract 740.03, Orange County, California",4311,403,2312,328,0,12,18,22,658,170,1323,199
1400000US06059074004,06059074004,"Census Tract 740.04, Orange County, California",8555,856,5406,731,0,17,129,101,1707,291,1313,425
1400000US06059074005,06059074005,"Census Tract 740.05, Orange County, California",7955,547,4358,542,0,17,72,50,1660,230,1865,358
1400000US06059074006,06059074006,"Census Tract 740.06, Orange County, California",5590,416,3367,350,0,17,75,35,755,205,1393,254
1400000US06059074102,06059074102,"Census Tract 741.02, Orange County, California",6653,618,3388,539,0,17,75,69,1423,200,1767,391
1400000US06059074103,06059074103,"Census Tract 741.03, Orange County, California",4923,428,2735,361,0,12,27,22,943,135,1218,247
1400000US06059074106,06059074106,"Census Tract 741.06, Orange County, California",6840,466,4021,398,10,14,139,82,1085,185,1585,333
1400000US06059074107,06059074107,"Census Tract 741.07, Orange County, California",6811,518,3944,485,107,129,73,78,1341,369,1346,480
1400000US06059074108,06059074108,"Census Tract 741.08, Orange County, California",5002,451,2665,360,0,17,56,84,935,159,1346,271
1400000US06059074109,06059074109,"Census Tract 741.09, Orange County, California",3536,293,1669,168,0,12,20,29,721,117,1126,258
1400000US06059074110,06059074110,"Census Tract 741.10, Orange County, California",4181,311,2458,358,3,5,37,29,1187,171,496,187
1400000US06059074111,06059074111,"Census Tract 741.11, Orange County, California",5449,359,3259,397,0,17,35,29,1469,228,686,215
1400000US06059074200,06059074200,"Census Tract 742, Orange County, California",9575,577,4961,475,23,38,133,66,1492,285,2966,515
1400000US06059074300,06059074300,"Census Tract 743, Orange County, California",4163,444,2437,342,0,12,41,33,604,113,1081,229
1400000US06059074403,06059074403,"Census Tract 744.03, Orange County, California",6023,425,2940,335,0,17,23,26,520,181,2540,307
1400000US06059074405,06059074405,"Census Tract 744.05, Orange County, California",6187,405,3448,348,16,26,17,20,502,162,2204,266
1400000US06059074406,06059074406,"Census Tract 744.06, Orange County, California",3422,286,1899,274,0,12,9,20,327,74,1187,186
1400000US06059074407,06059074407,"Census Tract 744.07, Orange County, California",5642,409,3279,296,0,17,84,54,593,169,1686,284
1400000US06059074408,06059074408,"Census Tract 744.08, Orange County, California",6327,577,3624,431,0,17,67,49,604,201,2032,498
1400000US06059074501,06059074501,"Census Tract 745.01, Orange County, California",7481,479,3712,393,0,17,30,37,663,216,3076,347
1400000US06059074502,06059074502,"Census Tract 745.02, Orange County, California",5631,447,3101,365,0,17,52,38,861,175,1617,254
1400000US06059074601,06059074601,"Census Tract 746.01, Orange County, California",7862,684,4244,485,67,76,15,24,728,168,2808,468
1400000US06059074602,06059074602,"Census Tract 746.02, Orange County, California",8087,812,4298,545,0,17,50,44,843,167,2896,501
1400000US06059074701,06059074701,"Census Tract 747.01, Orange County, California",8599,616,4012,476,0,17,105,90,1269,321,3213,480
1400000US06059074702,06059074702,"Census Tract 747.02, Orange County, California",6163,541,2812,280,0,17,32,26,1048,168,2271,391
1400000US06059074801,06059074801,"Census Tract 748.01, Orange County, California",6568,583,3075,340,0,17,34,31,923,195,2536,501
1400000US06059074802,06059074802,"Census Tract 748.02, Orange County, California",6810,638,3364,506,0,17,0,17,839,212,2607,441
1400000US06059074803,06059074803,"Census Tract 748.03, Orange County, California",8937,591,4267,516,0,17,77,56,1820,238,2773,453
1400000US06059074805,06059074805,"Census Tract 748.05, Orange County, California",5700,366,3077,297,0,17,0,17,445,106,2178,330
1400000US06059074806,06059074806,"Census Tract 748.06, Orange County, California",5299,324,2627,280,0,17,22,22,701,99,1949,266
1400000US06059074901,06059074901,"Census Tract 749.01, Orange County, California",9846,665,4495,441,0,17,46,65,1177,200,4128,526
1400000US06059074902,06059074902,"Census Tract 749.02, Orange County, California",6497,470,3211,288,11,19,67,75,459,97,2749,346
1400000US06059075002,06059075002,"Census Tract 750.02, Orange County, California",8022,690,4048,443,12,20,29,47,907,221,3026,446
1400000US06059075003,06059075003,"Census Tract 750.03, Orange County, California",7205,448,3776,405,0,17,0,17,302,141,3127,290
1400000US06059075004,06059075004,"Census Tract 750.04, Orange County, California",5344,408,2839,343,0,17,0,17,173,74,2332,285
1400000US06059075100,06059075100,"Census Tract 751, Orange County, California",10050,470,5913,359,20,20,117,96,1077,185,2923,372
1400000US06059075201,06059075201,"Census Tract 752.01, Orange County, California",6417,565,3823,509,0,17,28,38,720,169,1846,450
1400000US06059075202,06059075202,"Census Tract 752.02, Orange County, California",5510,499,2793,474,0,17,23,28,988,165,1706,421
1400000US06059075301,06059075301,"Census Tract 753.01, Orange County, California",5994,711,3909,580,23,22,39,52,927,248,1096,440
1400000US06059075302,06059075302,"Census Tract 753.02, Orange County, California",4812,444,3241,311,0,12,1,2,628,135,942,282
1400000US06059075303,06059075303,"Census Tract 753.03, Orange County, California",3233,305,2343,249,0,12,6,11,489,171,395,140
